,Price,Strap_color,Size_fits,Brand_Name,Screen_Size,Calling_System
280,1299,Black Strap, Free Size,Boult Drift,1.69,Yes
281,1399,Jet Black Strap, Free Size,Boult Drift+,1.85,Yes
282,2699,Black Strap, Free Size,boAt Wave,2.0,No
283,1399,Grey Strap, Free Size,Fire-Boltt Ninja,46.5,Yes
284,1699,Grey Blue Strap, 1.78,Fire-Boltt Hulk,45.2,Yes
285,1799,Dark Grey Strap, Free Size,Fire-Boltt Apollo,36.3,No
286,1399,Black Coffee Strap, Free Size,Boult Drift+,1.85,Yes
287,1299,Green Strap, Free Size,Boult Drift,1.69,Yes
288,1099,Rose Pink Strap, Regular,Noise Caliber,1.69,No
289,1599,Pink Strap, Regular,Fire-Boltt Talk,35.3,No
290,1299,Sand Black Strap, Free Size,Boult Drift,1.69,Yes
291,1999,Chrome Rig Strap, Free Size,Boult CrownR,1.43,Yes
292,999,Champagne Gold Strap, Free Size,beatXP Nexus,1.78,No
293,3499,Active Black Strap, One Size,boAt Lunar,1.43,No
294,14999,Brown Strap, One Size,Huawei Watch,,No
295,1599,LuxeSilver Strap, Free Size,Boult Crown,1.95,Yes
296,1399,Peach fuzz Strap, Free Size,Boult Drift+,1.85,Yes
297,1399,Chrome Strap, Free Size,Boult Drift+,1.85,Yes
298,999,Black Strap, Free Size,Dr Trust,,No
299,44900,Midnight Strap, Free Size,Apple Watch,,No
300,1299,Cream Strap, Free Size,Boult Striker,,Yes
301,1399,Gunmetal Strap, Free Size,Boult Drift,1.69,Yes
302,2199,Green Strap, Free Size,Fastrack Optimus,1.43,No
303,1299,Regal Gold Strap, Free Size,beatXP Vega,1.43,Yes
304,2199,Blue Strap, Free Size,Fastrack Optimus,1.43,No
305,1699,Green Strap, Free Size,Fire-Boltt Sphere,40.6,No
306,1699,Jet Black Strap, Free Size,Boult CrownX,2.0,Yes
307,2499,Black Strap, Free Size,Inbase FIT,1.78,No
308,1499,Pure Black Strap, Free Size,Boult CrownX,2.0,Yes
309,1199,Electric Black Strap, Free Size,beatXP Flux,1.45,Yes
310,2499,Space Grey Strap, Free Size,Urban FIT,1.78,Yes
311,2270,Silver Strap, Regular,AXL CZAR,1.81,No
312,1699,Black-C Strap, Free Size,Fire-Boltt Spectre,33.5,No
313,3999,Gold Pink Strap, Free Size,Fire-Boltt Hurricane,33.02,No
314,2499,Brown Strap, Regular,Noise Evolve,1.46,No
315,999,Electric Black Strap, Free Size,beatXP Nexus,1.78,No
316,1999,Black Strap, Free Size,Inbase Urban,1.7,Yes
317,1399,Black Strap, Standard,TXOR WAVE,,No
318,1799,Beige Strap, Free Size,Pebble Cosmos,1.91,Yes
319,499,Orange Strap, 49,SGG Smart,,No
320,1299,Black Strap, Free Size,Boult Drift,1.69,Yes
321,1399,Jet Black Strap, Free Size,Boult Drift+,1.85,Yes
322,1449,Pink Strap, Free Size,SAMSTAR COLLECTION,,No
323,740,Black Strap, Free Size,VINEWORD T800,,No
324,899,Black Strap, Regular,888 S_3,,No
325,2305,1 set ofcouple watch, free size,SPEEDFOX T800,,No
326,1399,Black Coffee Strap, Free Size,Boult Drift+,1.85,Yes
327,1299,Green Strap, Free Size,Boult Drift,1.69,Yes
328,999,Silver Strap, Regular,CREATION4U DZ09-418,,No
329,269,Green Strap, All,iSmart 66,,No
330,1299,Sand Black Strap, Free Size,Boult Drift,1.69,Yes
331,1999,Chrome Rig Strap, Free Size,Boult CrownR,1.43,Yes
332,879,Silver Strap, One Size,proffesso dz09,,No
333,467,Black Strap, Free,Ykarn Trades,,No
334,539,black Strap, free size,SM Enterprises,,No
335,1371,Pink Strap, Free Size,SAMSTAR COLLECTION,,No
336,1399,Peach fuzz Strap, Free Size,Boult Drift+,1.85,Yes
337,1399,Chrome Strap, Free Size,Boult Drift+,1.85,Yes
338,687,Black Strap, Free Size,Dude T800,,No
339,654,Black Strap, Free Size,Yash Enterprises,,No
340,1299,Cream Strap, Free Size,Boult Striker,,Yes
341,1399,Gunmetal Strap, Free Size,Boult Drift,1.69,Yes
342,999,Black Strap, free size,Triangle Ant,,No
343,697,Black Strap, 1.99 Inch,SHRI NETRA,,No
344,669,Black Strap, Free Size,TEXOVICT T800,,No
345,330,NA Strap, Mens,RHYLOZ Digital,,No
346,1699,Jet Black Strap, Free Size,Boult CrownX,2.0,Yes
347,2499,Black Strap, Free Size,Inbase FIT,1.78,No
348,750,Black Strap, Free Size,P U,,Yes
349,3885,Black Strap, Free Size,hoco. Y12,,No
350,2499,Space Grey Strap, Free Size,Urban FIT,1.78,Yes
351,2270,Silver Strap, Regular,AXL CZAR,1.81,No
352,1386,Pink Strap, Free Size,VYGHA COLLECTION,,No
353,0,Rose Strap, 1.99,Ezerio Gen,,No
354,25995,Silver Strap, Regular,MICHAEL KORS,,No
355,879,Silver Strap, Free Size,EasyShop DZ09,,No
356,1999,Black Strap, Free Size,Inbase Urban,1.7,Yes
357,1399,Black Strap, Standard,TXOR WAVE,,No
358,879,Silver Strap, Standard,Kwitech DZ09,,No
359,697,Orange Strap, 1.99 Inch,SHRI NETRA,,No
360,1299,Black Strap, Free Size,Boult Drift,1.69,Yes
361,1399,Jet Black Strap, Free Size,Boult Drift+,1.85,Yes
362,1499,Deep Purple Strap, Free Size,boAt Lunar,1.52,No
363,1699,Active Black Strap, Free Size,Fire-Boltt Sphere,40.6,No
364,1599,Teal Strap, 46,Fire-Boltt Talk,35.3,Yes
365,5499,Irish Glam Strap, Free Size,Fire-Boltt Dream,,No
366,1399,Black Coffee Strap, Free Size,Boult Drift+,1.85,Yes
367,1299,Green Strap, Free Size,Boult Drift,1.69,Yes
368,1199,Cool Grey Strap, Free Size,boAt Lunar,,Yes
369,709,Pink Strap, 1.75 Inch Full Screen Display,Gamesir I8,,No
370,1299,Sand Black Strap, Free Size,Boult Drift,1.69,Yes
371,1999,Chrome Rig Strap, Free Size,Boult CrownR,1.43,Yes
372,2499,Black Strap, Free Size,Fastrack Revoltt,1.91,No
373,1399,Pink Strap, Regular,Noise Crew,1.38,Yes
374,1999,Silver Strap, Free Size,Cult Active,1.52,No
375,1799,Blue Strap, Free Size,Fastrack Fastrack,,No
376,1399,Peach fuzz Strap, Free Size,Boult Drift+,1.85,Yes
377,1399,Chrome Strap, Free Size,Boult Drift+,1.85,Yes
378,999,Ice Silver Strap, Free Size,beatXP Marv,2.01,Yes
379,1499,Blue Strap, Regular,Noise Fit,1.32,No
380,1299,Cream Strap, Free Size,Boult Striker,,Yes
381,1399,Gunmetal Strap, Free Size,Boult Drift,1.69,Yes
382,1099,Dark Blue Strap, Free Size,Boult Cosmic,1.3,Yes
383,1399,Red Strap, Regular,Noise Colorfit,1.8,No
384,3099,Silver fusion Strap, Free Size,boAt Wave,2.04,Yes
385,1699,Red Strap, Free Size,boAt Storm,1.78,Yes
386,1699,Jet Black Strap, Free Size,Boult CrownX,2.0,Yes
387,2499,Black Strap, Free Size,Inbase FIT,1.78,No
388,2099,Orange Strap, Free Size,Fire-Boltt Expedition,,Yes
389,2199,Rose Pink Strap, Regular,Noise Icon,1.96,No
390,2499,Space Grey Strap, Free Size,Urban FIT,1.78,Yes
391,2270,Silver Strap, Regular,AXL CZAR,1.81,No
392,1299,Red Chrome Strap, Free Size,Boult Striker,,No
393,2299,Black Strap, Free Size,Cultsport Ace,1.43,No
394,1499,Metal Blue Strap, Free Size,Boult Trail,2.01,No
395,1299,Peach Strap, Free Size,Boult Drift,1.69,Yes
396,1999,Black Strap, Free Size,Inbase Urban,1.7,Yes
397,1399,Black Strap, Standard,TXOR WAVE,,No
398,22499,Silver Strap, 44mm,SAMSUNG Galaxy,,No
399,1799,Black Strap, Free Size,Fire-Boltt Shark,46.5,No
400,1999,Chrome Rig Strap, Free Size,Boult CrownR,1.43,Yes
401,1699,Jet Black Strap, Free Size,Boult CrownX,2.0,Yes
402,1499,Beige Strap, Free Size,Fire-Boltt Destiny,35.3,No
403,1449,Black Strap, 46*39*11.8 MM,Boston Levin,1.85,No
404,1699,Black Link Strap, Regular,Noise Crew,1.39,Yes
405,1449,Pink Gold Strap, 46*39*11.8 MM,Boston Levin,1.85,No
406,2499,Black Strap, Free Size,Inbase FIT,1.78,No
407,2499,Space Grey Strap, Free Size,Urban FIT,1.78,Yes
408,1099,Champagne Gold Strap, Free Size,beatXP Marv,1.96,Yes
409,1599,Gold Black O Strap, Free Size,Fire-Boltt Gladiator,49.7,No
410,2270,Silver Strap, Regular,AXL CZAR,1.81,No
411,1999,Black Strap, Free Size,Inbase Urban,1.7,Yes
412,1599,Black Link Strap, Regular,Noise Crew,1.38,Yes
413,340,Multicolor Strap, Free Size,Tarido Teenagers,,No
414,2299,Black Strap, Free Size,Fastrack Revoltt,1.95,No
415,1799,Black Strap, Regular,Ambrane Wise,1.78,No
416,1999,Black Strap, Free Size,Urban Revolt,,Yes
